Slide_ID;CHEMISTRY;Endpoint;ReferenceID;Correct_Answer;DOI;ID_Paper;Author;scaffold_smiles;ID_Reponse;ID_in_article;subst_smiles;total_smiles;Cpd_Level;measurement;mod;value;unit
19;Chemistry 36;hERG;39;B;https://www.sciencedirect.com/science/article/pii/S0960894X1630049X;39;CM;[*]c1cc(cc(c1)C(F)(F)F)C(=O)NC2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2;B;14;[*]c1cn(C)cn1;Cn1cnc(-c2cc(C(=O)NC3CCc4ccc(Oc5ccnc6c5CCC(=O)N6)cc4C3)cc(C(F)(F)F)c2)c1;Good;IC50;>;100;uM
19;Chemistry 38;hERG;39;B;https://www.sciencedirect.com/science/article/pii/S0960894X1630049X;39;CM;[*]c1cc(cc(c1)C(F)(F)F)C(=O)NC2CCc3ccc(Oc4ccnc5NC(=O)CCc45)cc3C2;C;9;[*]C1(O)CNC1;O=C1CCc2c(Oc3ccc4c(c3)CC(NC(=O)c3cc(C(F)(F)F)cc(C5(O)CNC5)c3)CC4)ccnc2N1;bad;IC52;;4.9;uM
55;Chemistry 39;hERG;37;A;https://www.sciencedirect.com/science/article/pii/S0960894X14000286;37;CM;[*]c1oc(nn1)c2nc(Cl)c(nc2N)N3CCN(C(CC)C3)C4CCN(CC4)C(=O)c5ccc(Cl)nc5N;A;3c;[*]N;CCC1CN(c2nc(N)c(-c3nnc(N)o3)nc2Cl)CCN1C1CCN(C(=O)c2ccc(Cl)nc2N)CC1;Good;%inh;;7;%
55;Chemistry 40;hERG;37;A;https://www.sciencedirect.com/science/article/pii/S0960894X14000286;37;CM;[*]c1oc(nn1)c2nc(Cl)c(nc2N)N3CCN(C(CC)C3)C4CCN(CC4)C(=O)c5ccc(Cl)nc5N;B;3e;[*]N(C)C;CCC1CN(c2nc(N)c(-c3nnc(N(C)C)o3)nc2Cl)CCN1C1CCN(C(=O)c2ccc(Cl)nc2N)CC1;bad;%inh;;67;%
55;Chemistry 41;hERG;37;A;https://www.sciencedirect.com/science/article/pii/S0960894X14000286;37;CM;[*]c1oc(nn1)c2nc(Cl)c(nc2N)N3CCN(C(CC)C3)C4CCN(CC4)C(=O)c5ccc(Cl)nc5N;C;3a;[*]C1CC1;CCC1CN(c2nc(N)c(-c3nnc(C4CC4)o3)nc2Cl)CCN1C1CCN(C(=O)c2ccc(Cl)nc2N)CC1;bad;%inh;;72;%
41;Chemistry 44;LogD;36;C;https://www.sciencedirect.com/science/article/pii/S0960894X13009396;36;CM;[*]n1cc(cn1)c2cnc3ccc(NC4CCN(C)CC4)nn23;A;16;[*]c1ccccc1F;CN1CCC(Nc2ccc3ncc(-c4cnn(-c5ccccc5F)c4)n3n2)CC1;bad;mLogD;;3.4;
41;Chemistry 43;LogD;36;C;https://www.sciencedirect.com/science/article/pii/S0960894X13009396;36;CM;[*]n1cc(cn1)c2cnc3ccc(NC4CCN(C)CC4)nn23;B;22;[*]c1ccc(Cl)cc1F;CN1CCC(Nc2ccc3ncc(-c4cnn(-c5ccc(Cl)cc5F)c4)n3n2)CC1;medium;mLogD;;2.9;
41;Chemistry 42;LogD;36;C;https://www.sciencedirect.com/science/article/pii/S0960894X13009396;36;CM;[*]n1cc(cn1)c2cnc3ccc(NC4CCN(C)CC4)nn23;C;24;[*]c1ncccc1F;CN1CCC(Nc2ccc3ncc(-c4cnn(-c5ncccc5F)c4)n3n2)CC1;Good;mLogD;;1.7;
37;Chemistry 45;hERG;35;A;https://www.sciencedirect.com/science/article/pii/S0960894X12001114;35;CM;[*]Oc1cc2C(=O)N(CC3CCCN(C3)C(C)C)C(=Nc2cn1)C;A;39;[*]c1cccc2cccnc12;Cc1nc2cnc(Oc3cccc4cccnc34)cc2c(=O)n1CC1CCCN(C(C)C)C1;Good;IC50;;25.1;uM
37;Chemistry 46;hERG;35;A;https://www.sciencedirect.com/science/article/pii/S0960894X12001114;35;CM;[*]Oc1cc2C(=O)N(CC3CCCN(C3)C(C)C)C(=Nc2cn1)C;B;26;[*]c1ccc(Cl)cc1F;Cc1nc2cnc(Oc3ccc(Cl)cc3F)cc2c(=O)n1CC1CCCN(C(C)C)C1;bad;IC50;;0.13;uM
37;Chemistry 47;hERG;35;A;https://www.sciencedirect.com/science/article/pii/S0960894X12001114;35;CM;[*]Oc1cc2C(=O)N(CC3CCCN(C3)C(C)C)C(=Nc2cn1)C;C;28;[*]c1ccc2ncsc2c1;Cc1nc2cnc(Oc3ccc4ncsc4c3)cc2c(=O)n1CC1CCCN(C(C)C)C1;bad;IC50;;2.4;uM
22;Chemistry 49;LogP;34;B;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]Nc1ncnc2ccc(cc12)c3cccc(c3)N4CCOCC4;A;5;[*]c1ccc(OC)c(Cl)c1;COc1ccc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)cc1Cl;bad;logP;;5.4;
22;Chemistry 48;LogP;34;B;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]Nc1ncnc2ccc(cc12)c3cccc(c3)N4CCOCC4;B;10b;[*]C1=NC(=O)NC=C1F;O=c1nc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)c(F)c[nH]1;Good;logP;;2.7;
22;Chemistry 50;LogP;34;B;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]Nc1ncnc2ccc(cc12)c3cccc(c3)N4CCOCC4;C;9a;[*]c1ccnn1CC;CCn1nccc1Nc1ncnc2ccc(-c3cccc(N4CCOCC4)c3)cc12;medium;logP;;3.9;
56;Chemistry 51;LogP;34;A;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]Nc1ncnc2ccc(cc12)c3cccc(c3)N4CCOCC4;A;10a;[*]C1=NC(=O)NC=C1;O=c1nc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)cc[nH]1;Good;logP;;2.5;
56;Chemistry 52;LogP;34;A;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]Nc1ncnc2ccc(cc12)c3cccc(c3)N4CCOCC4;B;9u;[*]c1ncc(F)s1;Fc1cnc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)s1;bad;logP;;5.0;Attention erreur, structure corrigée
56;Chemistry 53;LogP;34;A;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]Nc1ncnc2ccc(cc12)c3cccc(c3)N4CCOCC4;C;9p;[*]c1onc(C)c1;Cc1cc(Nc2ncnc3ccc(-c4cccc(N5CCOCC5)c4)cc23)on1;medium;logP;;3.6;
58;Chemistry 56;LogP;34;C;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1;A;17;[*]c1nccc(n1)N2CCOCC2;Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5nccc(N6CCOCC6)n5)cc34)cc2Cl)c1;bad;logP;;6.5;
58;Chemistry 55;LogP;34;C;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1;B;2;[*]c1cccc(c1)N2CCOCC2;Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1;bad;logP;;7.3;
58;Chemistry 54;LogP;34;C;https://www.sciencedirect.com/science/article/pii/S0223523417307997;34;CM;[*]c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1;C;21;[*]NC(=O)CN1CCOCC1;O=C(CN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1;Good;logP;;4.7;
18;Chemistry 59;hERG;33;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00120;33;CM;[*]C(=O)NCC1CC1c2cc(F)cc(F)c2OCc3cccnc3F;A;12;[*]N1CCC(CC1)N2CC3CCC(C2)O3;O=C(NCC1CC1c1cc(F)cc(F)c1OCc1cccnc1F)N1CCC(N2CC3CCC(C2)O3)CC1;medium;%inh @10uM;;32;
18;Chemistry 58;hERG;33;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00120;33;CM;[*]C(=O)NCC1CC1c2cc(F)cc(F)c2OCc3cccnc3F;B;9;[*]N1CCC2(CCCN2)CC1;O=C(NCC1CC1c1cc(F)cc(F)c1OCc1cccnc1F)N1CCC2(CCCN2)CC1;medium;%inh @10uM;;62;
18;Chemistry 57;hERG;33;C;https://pubs.acs.org/doi/10.1021/acsmedchemlett.2c00120;33;CM;[*]C(=O)NCC1CC1c2cc(F)cc(F)c2OCc3cccnc3F;C;10;[*]N1CCC2(CCNC2)CC1;O=C(NCC1CC1c1cc(F)cc(F)c1OCc1cccnc1F)N1CCC2(CCNC2)CC1;Good;%inh @10uM;;10;%
24;Chemistry 62;LogD;32;C;https://pubs.acs.org/doi/10.1021/jm500432n;32;CM;[*]CCN1CCC(CC1)NCc2cnc(C)c(c2)C#N;A;7;[*]N1C(=O)C=Cc2ncc(OC)cc12;COc1cnc2ccc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1;medium;logD;;1.07;
24;Chemistry 61;LogD;32;C;https://pubs.acs.org/doi/10.1021/jm500432n;32;CM;[*]CCN1CCC(CC1)NCc2cnc(C)c(c2)C#N;B;9;[*]N1C(=O)C=Cc2c(cc(OC)cc12)C#N;COc1cc(C#N)c2ccc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1;bad;logD;;1.86;
24;Chemistry 60;LogD;32;C;https://pubs.acs.org/doi/10.1021/jm500432n;32;CM;[*]CCN1CCC(CC1)NCc2cnc(C)c(c2)C#N;C;14;[*]N1C(=O)C=Nc2ncc(OC)cc12;COc1cnc2ncc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1;Good;logD;;0.38;
73;Chemistry 64;hERG;32;B;https://pubs.acs.org/doi/10.1021/jm500432n;32;CM;[*]CCN1CCC(CC1)NCc2cnc(C)c(c2)C#N;A;9;[*]N1C(=O)C=Cc2c(cc(OC)cc12)C#N;COc1cc(C#N)c2ccc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1;bad;IC50;;2.5;uM
73;Chemistry 63;hERG;32;B;https://pubs.acs.org/doi/10.1021/jm500432n;32;CM;[*]CCN1CCC(CC1)NCc2cnc(C)c(c2)C#N;B;14;[*]N1C(=O)C=Nc2ncc(OC)cc12;COc1cnc2ncc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1;Good;IC50;>;100;uM
73;Chemistry 65;hERG;32;B;https://pubs.acs.org/doi/10.1021/jm500432n;32;CM;[*]CCN1CCC(CC1)NCc2cnc(C)c(c2)C#N;C;13;[*]N1C(=O)C=Nc2ccc(OC)nc12;COc1ccc2ncc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2n1;medium;IC50;;13;uM
32;Chemistry 66;Permeability;31;A;https://pubs.acs.org/doi/10.1021/jm200279v;31;CM;[*]N1CCC(CCN2C3CCC2CC(C3)n4c(C)nc5ccccc45)(CC1)c6ccccc6;A;68;[*]C(=O)c1cccc(c1)C(=O)OC;COC(=O)c1cccc(C(=O)N2CCC(CCN3C4CCC3CC(n3c(C)nc5ccccc53)C4)(c3ccccc3)CC2)c1;Good;MDCK Papp;;192;nm/sec
32;Chemistry 67;Permeability;31;A;https://pubs.acs.org/doi/10.1021/jm200279v;31;CM;[*]N1CCC(CCN2C3CCC2CC(C3)n4c(C)nc5ccccc45)(CC1)c6ccccc6;B;69;[*]C(=O)c1cccc(c1)C(=O)N;Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)c2cccc(C(N)=O)c2)CC1;bad;MDCK Papp;;1.9;nm/sec
32;Chemistry 68;Permeability;31;A;https://pubs.acs.org/doi/10.1021/jm200279v;31;CM;[*]N1CCC(CCN2C3CCC2CC(C3)n4c(C)nc5ccccc45)(CC1)c6ccccc6;C;70;[*]C(=O)c1cccc(c1)S(=O)(=O)N;Cc1nc2ccccc2n1C1CC2CCC(C1)N2CCC1(c2ccccc2)CCN(C(=O)c2cccc(S(N)(=O)=O)c2)CC1;bad;MDCK Papp;;1;nm/sec
